timestamp,open,high,low,close,volume
1420464900000,1.19251,1.19285,1.19205,1.19256,1197.27
1420465200000,1.19256,1.19285,1.1923,1.19234,951.05
1420465500000,1.19235,1.19267,1.19221,1.1926,1010.87
1420465800000,1.1926,1.19267,1.192,1.19206,844.97
1420466100000,1.19204,1.19216,1.19123,1.19129,1052.25
1420466400000,1.1913,1.19145,1.19086,1.19104,678.74
1420466700000,1.19104,1.19336,1.19104,1.19331,1246.17
1420467000000,1.1933,1.19357,1.1926,1.19265,1533.98
1420467300000,1.19266,1.19286,1.19245,1.19276,857.06
1420467600000,1.19276,1.19279,1.19145,1.19157,1113.49
1420467900000,1.19155,1.19166,1.19137,1.19145,862.76
1420468200000,1.19143,1.19176,1.1914,1.19149,906.56
1420468500000,1.19148,1.19156,1.19106,1.19156,820.61
1420468800000,1.19155,1.19246,1.19155,1.19239,1087.9
1420469100000,1.1924,1.19258,1.19203,1.19229,901.34
1420469400000,1.19228,1.1933,1.19228,1.1932,994.21
1420469700000,1.19317,1.19347,1.19281,1.1934,981.73
1420470000000,1.1934,1.1938,1.19302,1.19304,1248.33
1420470300000,1.19306,1.19335,1.19263,1.19275,878.95
1420470600000,1.19275,1.19288,1.19255,1.19286,1064.79
1420470900000,1.19286,1.19371,1.19286,1.19369,716.41
1420471200000,1.19368,1.19416,1.1934,1.1939,938.68
1420471500000,1.1939,1.1939,1.19332,1.1934,750.23
1420471800000,1.19341,1.19373,1.19332,1.19346,738.7
1420472100000,1.19346,1.19346,1.19239,1.19239,916.35
1420472400000,1.19239,1.19239,1.19171,1.19211,1191.2
1420472700000,1.19207,1.19232,1.19183,1.19216,1094.36
1420473000000,1.19215,1.1927,1.19215,1.19266,945.79
1420473300000,1.19266,1.19371,1.19239,1.19369,1175.21
1420473600000,1.19367,1.19397,1.19316,1.19327,1021.34
1420473900000,1.19326,1.19356,1.19318,1.1934,661.66
1420474200000,1.1934,1.19352,1.19312,1.19345,715.32
1420474500000,1.19345,1.19366,1.19328,1.19366,708.8
